rating_id,user_id,food_id,food_code,rating
3,1,120,27445220,2
4,1,176,32105210,2
5,1,184,41311030,3
6,1,193,42401100,2
7,4,365,42403010,4
8,4,156,28340110,5
9,4,400,73105010,4
11,5,333,11511400,5
12,5,158,28340610,5
13,5,212,58156110,1
14,10,333,11511400,4
15,10,370,61210010,4
16,10,273,72307000,3
17,10,319,11320000,2
20,11,302,11111160,5
24,11,158,28340610,5
27,12,326,11350010,5
29,12,379,64101010,4
30,12,178,32105240,5
31,12,328,11350030,5
32,13,325,11350000,3
33,13,178,32105240,4
34,13,189,41812400,5
35,13,379,64101010,5
36,13,16,14710200,5
38,14,379,64101010,4
39,15,325,11350000,5
40,15,327,11350020,4
41,15,405,75200700,4
42,15,379,64101010,5
43,15,16,14710200,5
44,16,197,58150100,4
45,18,327,11350020,4
46,17,178,32105240,4
47,17,379,64101010,3
48,18,328,11350030,3
49,17,151,28310110,3
50,17,382,64104600,2
51,18,151,28310110,3
52,17,325,11350000,3
53,18,381,64104030,4
54,18,354,11513854,5
55,19,380,64104010,5
56,19,400,73105010,5
57,19,170,32103030,5
58,19,388,64133100,5
59,19,109,27350070,4
60,19,23,26109133,3
61,16,380,64104010,2
63,16,198,58150520,1
64,16,354,11513854,4
65,21,395,64201010,4
66,21,381,64104030,3
67,21,328,11350030,5
68,21,16,14710200,3
69,21,432,92550360,2
70,22,380,64104010,4
71,22,381,64104030,5
72,22,325,11350000,4
73,22,182,41221020,3
74,22,8,11432000,5
75,22,366,42404010,5
76,22,55,26205160,4
79,23,96,27243100,5
80,23,96,27243100,5
81,23,181,41203030,4
82,23,399,73105000,2
83,23,270,72202010,3
84,23,400,73105010,5
85,23,296,75608100,4
86,5,228,58164210,4
87,5,101,27250160,3
88,5,176,32105210,1
89,5,328,11350030,2
90,5,120,27445220,4
91,5,133,27450070,1
93,6,122,27450020,3
94,6,212,58156110,1
95,6,96,27243100,5
96,6,98,27250030,3
97,6,379,64101010,1
98,9,176,32105210,5
99,9,450,92613510,1
100,9,147,27550720,5
101,9,161,28350050,5
102,9,154,28311010,3
103,9,228,58164210,3
104,27,45,26137123,3
105,27,111,27350410,4
106,27,101,27250160,1
107,27,15,11446000,3
110,28,120,27445220,3
111,28,158,28340610,4
112,28,101,27250160,2
113,28,379,64101010,5
114,28,98,27250030,5
115,29,96,27243100,4
116,29,161,28350050,5
117,29,45,26137123,2
118,29,228,58164210,2
119,29,287,75418030,2
120,29,101,27250160,5
121,29,98,27250030,2
122,29,286,75418020,3
124,30,73,26315190,3
